16,292
16,283
16,283
14,504
14,092
18,596
22,360
27,800
27,425
27,397
25,758
25,983
21,133
17,781
22,846
22,781
25,918
25,918
30,627
35,543
34,073
30,421
26,826
26,910
26,910
26,854
23,745
23,727
23,895
20,431
23,773
20,459
20,552
19,054
14,092
11,376
17,584
20,468
20,496
20,637
20,637
20,627
20,777
20,609
18,633
15,309
15,318
15,225
11,901
15,047
17,631
11,348
6,629
6,545
6,414
9,335
15,749
15,730
16,049
16,264
16,395
16,386
16,386
16,376
13,390
10,646
10,609
10,562
16,292
16,283
16,704
10,684
10,581
14,485
18,792
24,972
25,028
26,592
31,376
34,157
37,350
37,388
37,800
32,285
35,618
38,202
37,875
37,846
33,624
29,054
22,725
26,011
29,307
30,243
30,684
27,331
27,313
26,919
